maxNodeL (m)	nodeL (m)	Ithr (A)	CV (m/s)	dV (mV)
0.001	0.001	nan	nan	nan
0.0009478885402286915	0.0007142857142857143	nan	nan	nan
0.0008984926846968804	0.0007142857142857143	nan	nan	nan
0.0008516709193034839	0.0007142857142857143	nan	nan	nan
0.000807289104453807	0.0007142857142857143	nan	nan	nan
0.0007652200907632474	0.0007142857142857143	nan	nan	nan
0.0007253433547872414	0.0007142857142857143	nan	nan	nan
0.0006875446537338608	0.0005555555555555556	nan	nan	nan
0.0006517156981698303	0.0005555555555555556	nan	nan	nan
0.000617753841782323	0.0005555555555555556	nan	nan	nan
0.0005855617873077127	0.0005555555555555556	nan	nan	nan
0.0005550473077848112	0.00045454545454545455	nan	nan	nan
0.0005261229823340104	0.00045454545454545455	nan	nan	nan
0.0004987059457053507	0.00045454545454545455	nan	nan	nan
0.00047271765087801446	0.00045454545454545455	nan	nan	nan
0.0004480836440310973	0.0003846153846153846	nan	nan	nan
0.0004247333512409894	0.0003846153846153846	nan	nan	nan
0.0004025998762942615	0.0003846153846153846	nan	nan	nan
0.00038161980903681967	0.0003333333333333333	nan	nan	nan
0.00036173304371026337	0.0003333333333333333	nan	nan	nan
0.00034288260675500293	0.0003333333333333333	nan	nan	nan
0.0003250144935868082	0.00029411764705882356	nan	nan	nan
0.000308077513879167	0.00029411764705882356	nan	nan	nan
0.0002920231449082083	0.0002631578947368421	nan	nan	nan
0.0002768053925400335	0.0002631578947368421	nan	nan	nan
0.00026238065946220223	0.0002380952380952381	nan	nan	nan
0.00024870762028186827	0.0002380952380952381	nan	nan	nan
0.00023574710313273203	0.0002173913043478261	nan	nan	nan
0.00022346197745162812	0.0002173913043478261	nan	nan	nan
0.00021181704760324076	0.0002	1.1147028752093538e-08	0.3269756246557907	86.73410377502019
0.00020077895204818712	0.0002	1.1147028752093538e-08	0.3266955002955595	86.72906160215572
0.0001903160677656025	0.00018518518518518518	1.075174404457249e-08	0.34763836392535147	87.73974174190481
0.00018039841965640188	0.0001724137931034483	1.0435516278555652e-08	0.3644581603702541	88.38795835397761
0.00017099759466766964	0.00016129032258064516	1.0198345454043024e-08	0.3781412538612788	88.60342976504816
0.000162086660392155	0.00016129032258064516	1.0119288512538814e-08	0.3779652694898936	88.64141588294912
0.00015364008790966346	0.00015151515151515152	9.882117688026187e-09	0.3892755478387326	88.68581665524377
0.00014563367864929872	0.00014285714285714287	9.724003805017768e-09	0.39876177027995946	88.80605843429515
0.00013804449506301823	0.00013513513513513514	9.486832980505139e-09	0.4069361053282396	88.7812012458692
0.00013085079491189115	0.0001282051282051282	9.328719097496718e-09	0.41390453077287	88.69843882968817
0.0001240319689767965	0.00012195121951219512	9.249662155992509e-09	0.41983568899096557	88.5395838712032
0.000117568482015106	0.00011627906976744187	9.09154827298409e-09	0.4254195047362906	88.45075285612877
0.00011144181679420197	0.00011111111111111112	8.972962860727777e-09	0.43003116299233246	88.28941166142548
0.00010563442104148949	0.00010204081632653062	8.814848977719359e-09	0.438147316845271	88.00631708262425
0.00010012965715892042	9.80392156862745e-05	8.775320506967253e-09	0.4418262569543838	87.81346654633953
9.491175455796852e-05	9.433962264150943e-05	8.65673509471094e-09	0.44496773412708507	87.64041776724085
8.996576447849663e-05	8.771929824561404e-05	8.617206623958835e-09	0.45059241724563204	87.32314302203696
8.527751716208043e-05	8.474576271186441e-05	8.538149682454626e-09	0.4530351869822936	87.18180667880645
8.083358125709176e-05	7.936507936507937e-05	8.459092740950416e-09	0.45749651812409975	86.89381396628568
7.662122533924201e-05	7.462686567164179e-05	8.459092740950416e-09	0.46136677128305004	86.66182292788966
7.262838143734774e-05	7.246376811594203e-05	8.459092740950416e-09	0.4630807178538077	86.57610510874414
6.884361045982014e-05	6.84931506849315e-05	8.459092740950416e-09	0.46621847526585225	86.45889703651744
6.525606942283158e-05	6.493506493506494e-05	8.380035799446207e-09	0.46908841824034936	86.44796677406802
6.185548038626997e-05	6.17283950617284e-05	8.459092740950416e-09	0.4714828181824208	86.53832462280998
5.8632101008486017e-05	5.747126436781609e-05	8.459092740950416e-09	0.47463236837980105	86.79667153178846
5.557669663547499e-05	5.4945054945054945e-05	8.459092740950416e-09	0.4767118104586299	86.98553713112284
5.268051384453322e-05	5.2631578947368424e-05	8.459092740950416e-09	0.4781880112908257	87.1516333654991
4.9935255366591956e-05	4.950495049504951e-05	8.459092740950416e-09	0.48018094168170206	87.34553681531953
4.7333056315385876e-05	4.672897196261682e-05	8.498621211702522e-09	0.48236221253086276	87.49988673291165
4.486646165535356e-05	4.424778761061947e-05	8.538149682454626e-09	0.4838032904282642	87.58846238442729
4.252840484371964e-05	4.201680672268908e-05	8.617206623958835e-09	0.48512745014372655	87.65793388815308
4.031218758556822e-05	4e-05	8.617206623958835e-09	0.48642207992946873	87.70497117776324
3.821146064390944e-05	3.816793893129771e-05	8.65673509471094e-09	0.48749396196072337	87.74132863037543
3.622020564976141e-05	3.597122302158273e-05	8.696263565463044e-09	0.48876884849796365	87.77189987558913
3.433271786013541e-05	3.401360544217687e-05	8.775320506967253e-09	0.48974549446419213	87.81202494282931
3.254358981452728e-05	3.2258064516129034e-05	8.775320506967253e-09	0.490529546015328	87.84374329360477
3.084769584309357e-05	3.067484662576687e-05	8.814848977719359e-09	0.4916907942224291	87.8707983379688
2.9240177382128637e-05	2.9239766081871346e-05	8.854377448471463e-09	0.49217532982021517	87.89780826395875
2.7716429054773972e-05	2.7624309392265193e-05	8.933434389975672e-09	0.4931330670249997	87.91924676689734
2.6272085477081788e-05	2.6178010471204188e-05	8.933434389975672e-09	0.4935113182777076	87.96307345364511
2.490300875163446e-05	2.4875621890547263e-05	8.972962860727777e-09	0.49446367228338206	87.98319619696447
2.3605276612889114e-05	2.347417840375587e-05	9.012491331479881e-09	0.4945942713786935	87.98856600693311
2.237517119028593e-05	2.2222222222222223e-05	9.09154827298409e-09	0.4953560967500871	88.01184270157822
2.1209168356927205e-05	2.109704641350211e-05	9.09154827298409e-09	0.4953925280635678	88.01610289220397
2.010392763331232e-05	2.0080321285140562e-05	9.09154827298409e-09	0.49570293888321626	88.03588679967456
1.9056282617203666e-05	1.9011406844106464e-05	9.131076743736196e-09	0.49611369334264294	88.0399177922083
1.806323191220657e-05	1.805054151624549e-05	9.1706052144883e-09	0.49661723064187724	88.0561925516086
1.71219305290738e-05	1.7064846416382253e-05	9.1706052144883e-09	0.49707222264418194	88.06867167868432
1.6229681735100863e-05	1.6181229773462782e-05	9.249662155992509e-09	0.49658835543100754	88.02246108046991
1.5383929328261015e-05	1.5290519877675842e-05	9.249662155992509e-09	0.4965445224780386	88.03761200777846
1.4582250313946684e-05	1.457725947521866e-05	9.249662155992509e-09	0.4971214781614307	88.03569906171965
1.38223479633363e-05	1.3774104683195593e-05	9.249662155992509e-09	0.49777349443949115	88.0647350658808
1.310204523349987e-05	1.3054830287206266e-05	9.249662155992509e-09	0.4973915845317087	88.09227439931875
1.2419278530392502e-05	1.2406947890818859e-05	9.249662155992509e-09	0.49763980486179105	88.09545994162302
1.1772091796867278e-05	1.1764705882352942e-05	9.289190626744615e-09	0.49818483817908477	88.08235409886909
1.1158630908770676e-05	1.1135857461024499e-05	9.289190626744615e-09	0.4977514618574681	88.09688024976032
1.0577138363065392e-05	1.0570824524312897e-05	9.289190626744615e-09	0.497994071471045	88.100054861337
1.0025948242762946e-05	1.0020040080160322e-05	9.289190626744615e-09	0.4980214133847924	88.06342499108001
9.503481444241001e-06	9.487666034155598e-06	9.289190626744615e-09	0.4982871674673514	88.07403581825038
9.008241153272059e-06	8.976660682226211e-06	9.289190626744615e-09	0.4983720673049869	88.105816076992
8.538808556803075e-06	8.517887563884158e-06	9.328719097496718e-09	0.4985675339436616	88.09761083354837
8.093838778200327e-06	8.077544426494346e-06	9.328719097496718e-09	0.49872806409443016	88.10924478714165
7.672057024314682e-06	7.656967840735069e-06	9.328719097496718e-09	0.4987729967326257	88.11124069814682
7.272254933328937e-06	7.256894049346879e-06	9.328719097496718e-09	0.4988398261100773	88.1130170623914
6.893287112924066e-06	6.87757909215956e-06	9.328719097496718e-09	0.498795320675251	88.11319874607369
6.534067858846843e-06	6.51890482398957e-06	9.328719097496718e-09	0.49890862443477857	88.11360313596474
6.193568044477545e-06	6.180469715698393e-06	9.328719097496718e-09	0.4989341927517689	88.1044189925262
5.870812172486892e-06	5.861664712778429e-06	9.328719097496718e-09	0.49845699437834784	88.11179708806444
5.564875580135443e-06	5.5617352614015575e-06	9.328719097496718e-09	0.49918721511825725	88.10605371332966
5.274881790208878e-06	5.268703898840886e-06	9.328719097496718e-09	0.49960380864356324	88.10604622427539
4.9999999999999996e-06	4.995004995004995e-06	9.328719097496718e-09	0.5001997814490167	88.1051747317339
